name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,publicationYearNote,infraspecies,referenceRemarks,speciesAuthor,remarks,collectionNumber,collectorTeam,typeLocations,nameStatus,nameStatusType,collectionDate1,locality,typeCoordinates
Capparis_nectaria,Vell.,Vell.,,spec.,/n/44722-2,Capparaceae,Capparis,nectaria,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Flumin.,1829,230,932-2,citation,Fl. Flumin. 230. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,1.3,44722-2,urn:lsid:ipni.org:names:44722-2,wfo-0000584933,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=230&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,1825 publ. 7 Sep-28 Nov 1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Capparis_urens,Barb.Rodr.,Barb.Rodr.,,spec.,/n/44777-2,Capparaceae,Capparis,urens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Vellosia,1888,"1: 2, pl. 2",3884-2,citation,"Vellosia 1: 2, pl. 2. 1888 ",FALSE,TRUE,1.2,44777-2,urn:lsid:ipni.org:names:44777-2,wfo-0000585260,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=2&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_amazonica,Heilborn,Heilborn,,spec.,/n/60482-2,Capparaceae,Cleome,amazonica,tax. nov.,"Acre (Brazil, Southern America)",FALSE,FALSE,TRUE,,Ark. Bot.,1931,"23A, no. 10: 9",536-2,citation,"Ark. Bot. 23A, no. 10: 9. 1931 ",FALSE,TRUE,1.3,60482-2,urn:lsid:ipni.org:names:60482-2,wfo-0000611119,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_arborea,Weinm.,Weinm.,,spec.,/n/146922-1,Capparaceae,Cleome,arborea,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Syll. Pl. Nov.,1824,1: 227,5625-2,citation,Syll. Pl. Nov. 1: 227. 1824 ,FALSE,TRUE,1.3.2.1,146922-1,urn:lsid:ipni.org:names:146922-1,wfo-0000611134,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1824&rft.spage=227&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/112495&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom. illeg. later homonym    non Schrad. (5 May 1821),nom. illeg.,NA,NA,
Cleome_brachypoda,Briq.,Briq.,,spec.,/n/60486-2,Capparaceae,Cleome,brachypoda,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 378,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 378. 1914 ,FALSE,TRUE,1.2.2.1,60486-2,urn:lsid:ipni.org:names:60486-2,wfo-0000611166,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=378&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_diffusa,Banks ex DC.,Banks ex DC.,,spec.,/n/60497-2,Capparaceae,Cleome,diffusa,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1824,1: 241,1051-2,citation,Prodr. [A. P. de Candolle] 1: 241. 1824 [mid Jan 1824] ,FALSE,TRUE,1.4.2.1.1.5,60497-2,urn:lsid:ipni.org:names:60497-2,wfo-0000611233,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/154197&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,154197,mid Jan 1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_gardneri,Briq.,Briq.,,spec.,/n/60512-2,Capparaceae,Cleome,gardneri,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 381,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 381. 1914 ,FALSE,TRUE,1.2.2.1,60512-2,urn:lsid:ipni.org:names:60512-2,wfo-0000611288,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=381&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_gaudichaudii,Briq.,Briq.,,spec.,/n/60513-2,Capparaceae,Cleome,gaudichaudii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 373,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 373. 1914 ,FALSE,TRUE,1.2.2.1,60513-2,urn:lsid:ipni.org:names:60513-2,wfo-0000611290,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=373&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_glabra,Taub.,Taub.,,spec.,/n/60514-2,Capparaceae,Cleome,glabra,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1905,52(Mém. 3[a]): 19,578-2,citation,Bull. Soc. Bot. France 52(Mém. 3[a]): 19. 1905 Nomen subnudum,FALSE,TRUE,1.4,60514-2,urn:lsid:ipni.org:names:60514-2,wfo-0001290376,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,Nomen subnudum,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_horrida,Mart. ex Schult. & Schult.f.,Mart. ex Schult. & Schult.f.,,spec.,/n/60523-2,Capparaceae,Cleome,horrida,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,7(1): 32,14665-2,citation,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 32. 1829 ",FALSE,TRUE,1.6,60523-2,urn:lsid:ipni.org:names:60523-2,wfo-0000611339,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=32&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_houstonii,Miq.,Miq.,,spec.,/n/147104-1,Capparaceae,Cleome,houstonii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1846,19(4): 433,703-2,citation,Linnaea 19(4): 433. 1846 [Dec 1846] ,FALSE,TRUE,1.7,147104-1,urn:lsid:ipni.org:names:147104-1,wfo-0000611343,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/108807&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,108807,Dec 1846,NA,NA,NA,as houstoni,NA,NA,NA,nom. illeg. later homonym,nom. illeg.,NA,NA,
Cleome_inermis,Malme,Malme,,spec.,/n/60525-2,Capparaceae,Cleome,inermis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ark. Bot.,1928,"22A, no. 7: 5",536-2,citation,"Ark. Bot. 22A, no. 7: 5. 1928 ",FALSE,TRUE,1.3,60525-2,urn:lsid:ipni.org:names:60525-2,wfo-0000611355,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_microcarpa,Ule,Ule,,spec.,/n/60548-2,Capparaceae,Cleome,microcarpa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1908,42(2-3): 201,553-2,citation,Bot. Jahrb. Syst. 42(2-3): 201. 1908 [29 Dec 1908] ,FALSE,TRUE,1.5,60548-2,urn:lsid:ipni.org:names:60548-2,wfo-0000611432,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=201&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,29 Dec 1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_moricandii,Briq.,Briq.,,spec.,/n/60551-2,Capparaceae,Cleome,moricandii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 376,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 376. 1914 ,FALSE,TRUE,1.2.2.1.1.1,60551-2,urn:lsid:ipni.org:names:60551-2,wfo-0000611443,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=376&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_perplexa,Briq.,Briq.,,spec.,/n/60560-2,Capparaceae,Cleome,perplexa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1914,17: 380,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 17: 380. 1914 ,FALSE,TRUE,1.2.2.1.1.1,60560-2,urn:lsid:ipni.org:names:60560-2,wfo-0000611501,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=380&rft.volume=17&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleome_psoraleifolia,DC.,DC.,,spec.,/n/30228993-2,Capparaceae,Cleome,psoraleifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1824,1: 239,1051-2,citation,Prodr. [A. P. de Candolle] 1: 239. 1824 [mid-Jan 1824] (as psoraleaefolia),FALSE,TRUE,1.1.2.2.1.3,30228993-2,urn:lsid:ipni.org:names:30228993-2,wfo-0000611533,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/154195&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,154195,mid-Jan 1824,NA,(as psoraleaefolia),NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cleoserrata_bahiana,Iltis & Costa-e-Silva ex Soares Neto & Roalson,Iltis & Costa-e-Silva ex Soares Neto & Roalson,,spec.,/n/77177574-1,Capparaceae,Cleoserrata,bahiana,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2017,324(2): 180,20011462-1,citation,Phytotaxa 324(2): 180. 2017 [10 Oct 2017] [epublished],FALSE,TRUE,1.1,77177574-1,urn:lsid:ipni.org:names:77177574-1,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,10 Oct 2017,NA,[epublished],NA,doi:10.11646/phytotaxa.324.2.6,21972,R.M.Harley,holotype CEPEC;isotype HUEFS;isotype K K000220454; K000220455;isotype NY;isotype WIS v0324962; v0324963; v0324964,NA,NA,1 May 1980,"Bahia: Chapadão Ocidental da Bahia. 5 km to the N. of Tabocas, which is 10 km N.W. of Serra Dourada",
Crateva_bahiana,Ule,Ule,,spec.,/n/69197-2,Capparaceae,Crateva,bahiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1908,42(2-3): 202,553-2,citation,Bot. Jahrb. Syst. 42(2-3): 202. 1908 [29 Dec 1908] ,FALSE,TRUE,1.4,69197-2,urn:lsid:ipni.org:names:69197-2,wfo-0000625684,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=202&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,29 Dec 1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Crateva_coriacea,Herzog,Herzog,,spec.,/n/69199-2,Capparaceae,Crateva,coriacea,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1909,7: 52,788-2,citation,Repert. Spec. Nov. Regni Veg. 7: 52. 1909 ,FALSE,TRUE,1.4,69199-2,urn:lsid:ipni.org:names:69199-2,wfo-0000625692,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/265260&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,265260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cynophalla_grandiflora,Luber,Luber,,spec.,/n/77319980-1,Capparaceae,Cynophalla,grandiflora,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Rodriguésia,2022,73(e00342021): 9,1167-2,citation,Rodriguésia 73(e00342021): 9. 2022 [epublished],FALSE,TRUE,1.1,77319980-1,urn:lsid:ipni.org:names:77319980-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,[epublished],NA,doi:10.1590/2175-7860202273015,7593,D.A.Folli,holotype CVRD CVRD15806;isotype RB RB767636,NA,NA,20 Nov 2017,"Linhares, Flona de Goytacazes, 21 m",
Dactylaena_glazioviana,Taub.,Taub.,,spec.,/n/75739-2,Capparaceae,Dactylaena,glazioviana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1892,"15(2, Beibl. 34): 1",553-2,citation,"Bot. Jahrb. Syst. 15(2, Beibl. 34): 1. 1892 [5 Apr 1892] ",FALSE,TRUE,1.6,75739-2,urn:lsid:ipni.org:names:75739-2,wfo-0000636800,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/337196&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,337196,5 Apr 1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dactylaena_zmarztyae,Roalson & Soares Neto,Roalson & Soares Neto,,spec.,/n/77211671-1,Capparaceae,Dactylaena,zmarztyae,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Syst. Bot.,2020,45(3): 551,1295-2,citation,Syst. Bot. 45(3): 551. 2020 [11 Aug 2020] [epublished],FALSE,TRUE,1.2,77211671-1,urn:lsid:ipni.org:names:77211671-1,wfo-1000022047,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,11 Aug 2020,NA,[epublished],NA,"doi:10.1600/036364420X15935294613563 The epithet is an honour to Sue Zmarzty (Royal Botanic Gardens, Kew), who annotated a number of specimens of this species as possibly new to science but did not publish it.",27577,R.M. Harley,holotype K;isotype CEPEC;isotype SPF,NA,NA,17 Dec 1988,"Bahia: Água Quente, Pico das Almas, vertente oeste, entre Paramirim das Crioulas e a face NNW do pico, 1100-1200",
Haptocarpum_bahiense,Ule,Ule,,spec.,/n/117876-2,Capparaceae,Haptocarpum,bahiense,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ber. Deutsch. Bot. Ges.,1908,"26a: 223, pl. 2",3585-2,citation,"Ber. Deutsch. Bot. Ges. 26a: 223, pl. 2. 1908 ",FALSE,TRUE,1.2,117876-2,urn:lsid:ipni.org:names:117876-2,wfo-0000715647,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Neocalyptrocalyx_atlanticus,Luber & Cornejo,Luber & Cornejo,,spec.,/n/77254994-1,Capparaceae,Neocalyptrocalyx,atlanticus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Syst. Bot.,2021,46(3): 853,1295-2,citation,"Syst. Bot. 46(3): 853. 2021 [25 Oct 2021] , as 'atlanticum' [epublished]",FALSE,TRUE,1.3,77254994-1,urn:lsid:ipni.org:names:77254994-1,wfo-1000028150,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,25 Oct 2021,NA,as 'atlanticum' [epublished],NA,doi:10.1600/036364421X16312067913598,486,J.Luber &amp; L.Daneu,holotype RB;isotype NY;isotype CAP;isotype SPF;isotype K,NA,NA,18 Nov 2019,Bahia: Mun. Itororó. Fragmento de floresta atrás do curral de leite na Fazenda do Felipe Palmeira. Lado esqueda da estrada saindo de Itororó,
Neocalyptrocalyx_polycataphyllus,Luber & Cornejo,Luber & Cornejo,,spec.,/n/77254995-1,Capparaceae,Neocalyptrocalyx,polycataphyllus,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2021,46(3): 859,1295-2,citation,Syst. Bot. 46(3): 859. 2021 [25 Oct 2021] [epublished],FALSE,TRUE,1.2,77254995-1,urn:lsid:ipni.org:names:77254995-1,wfo-1000028151,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,25 Oct 2021,NA,[epublished],NA,doi:10.1600/036364421X16312067913598,1437,B.W.Nelson &amp; R.P.Lima,holotype INPA;isotype NY,NA,NA,24 Aug 1985,"Mun. Manaus, estrada Manaus-Caracarai 15 km N da Manaus-Itacoatiara. Capoeira arenosa na beira da estrada",
Tarenaya_bernadeteana,Soares Neto,Soares Neto,,spec.,/n/77312139-1,Capparaceae,Tarenaya,bernadeteana,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Ann. Missouri Bot. Gard.,2022,107(1): 262,1-2,citation,Ann. Missouri Bot. Gard. 107(1): 262. 2022 [23 Jun 2022] [epublished],FALSE,TRUE,1.1,77312139-1,urn:lsid:ipni.org:names:77312139-1,wfo-1000043450,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2022&rft.issue=1&rft.spage=262&rft.volume=107&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,23 Jun 2022,NA,[epublished],NA,"doi:10.3417/2022705 Etymology: 'The specific epithet is in honor of Maria Bernadete Costa-e-Silva, who dedicated her research to the study of the Brazilian species of Cleome'.",4832,V.Demuner et al.,holotype MBML;isotype JPB,NA,NA,20 Dec 2007,"Águia Branca, Santa Luzia, proprietário Ciro Ferreira, 150–270 m",
Tarenaya_curvispina,Soares Neto & Roalson,Soares Neto & Roalson,,spec.,/n/77176512-1,Capparaceae,Tarenaya,curvispina,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America);Ceará (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2018,334(1): 28,20011462-1,citation,Phytotaxa 334(1): 28. 2018 [12 Jan 2018] [epublished],FALSE,TRUE,1.2,77176512-1,urn:lsid:ipni.org:names:77176512-1,wfo-0001318341,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,12 Jan 2018,NA,[epublished],NA,doi:10.11646/phytotaxa.334.1.4,130,R.L.Soares Neto &amp; J.G.Jardim,holotype JPB;isotype CEPEC;isotype RB;isotype NY;isotype WIS,NA,NA,9 Sep 2015,"Bahia: Ilhéus, Quadra D do CEPEC",
Tarenaya_longicarpa,Soares Neto & Roalson,Soares Neto & Roalson,,spec.,/n/77205323-1,Capparaceae,Tarenaya,longicarpa,tax. nov.,"Ceará (Brazil Northeast, Brazil, Southern America);Bolivia (Western South America, Southern America);Acre (Brazil North, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);Piauí (Brazil Northeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);Rondônia (Brazil North, Brazil, Southern America);Roraima (Brazil North, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Syst. Bot.,2019,44(3): 687,1295-2,citation,Syst. Bot. 44(3): 687. 2019 [6 Aug 2019] [epublished],FALSE,TRUE,1.3,77205323-1,urn:lsid:ipni.org:names:77205323-1,wfo-1000034785,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,6 Aug 2019,NA,[epublished],NA,doi:10.1600/036364419X15620113920743,2615,F.Drouet,holotype MO MO247740;isotype F V0053152F;isotype GH GH00042343;isotype IPA;isotype US;isotype WIS,NA,NA,15 Oct 1935,"Ceará: [Aquiraz] Waste places on banks of Rio Pacoty, 6 km S of Aquiraz",
Tarenaya_pernambucensis,Soares Neto & Roalson,Soares Neto & Roalson,,spec.,/n/77176513-1,Capparaceae,Tarenaya,pernambucensis,tax. nov.,"Pernambuco (Brazil Northeast, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2018,334(1): 32,20011462-1,citation,Phytotaxa 334(1): 32. 2018 [12 Jan 2018] [epublished],FALSE,TRUE,1.2,77176513-1,urn:lsid:ipni.org:names:77176513-1,wfo-0001319078,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,12 Jan 2018,NA,[epublished],NA,doi:10.11646/phytotaxa.334.1.4,3045,B.Pickel,holotype IPA;isotype BH;isotype F v0053149F;isotype GH GH00042342;isotype LCU;isotype MASS 00319664;isotype MICH;isotype MO;isotype RM RM0005356;isotype UC;isotype WIS v 0324960 WIS,NA,NA,25 Jun 1932,"Pernambuco, São Lourenço da Mata, Tapera, São Bento",
