name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,remarks,bhlLink,typeRemarks,infraspecies,pageAsText,speciesAuthor,collectionDate1,locality,referenceRemarks,basionymAuthorStr,collectionDate2,typeCoordinates,originalRemarks,originalTaxonDistribution,nameStatus,nameStatusType,bibliographicReference,typeChosenBy,typeNote
Beera_latifolia,Schrad. ex Nees,Schrad. ex Nees,,spec.,/n/328726-2,Cyperaceae,Beera,latifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Fl. Bras. (Martius),1842,2(1): 65,629-2,citation,Fl. Bras. (Martius) 2(1): 65. 1842 [1 Apr 1842] ,FALSE,TRUE,NA,1.6,328726-2,urn:lsid:ipni.org:names:328726-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1 Apr 1842,invalid (pro syn. of H. schraderianum Nees 1842),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/134848&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,134848,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Bulbostylis_litoreamazonicola,J.Maciel-Silva & A.Gil,J.Maciel-Silva & A.Gil,,spec.,/n/77238954-1,Cyperaceae,Bulbostylis,litoreamazonicola,tax. nov.,1032,L.C.B.Lobato,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2022,530(2): 190,20011462-1,citation,Phytotaxa 530(2): 190. 2022 [10 Jan 2022] [epublished],FALSE,TRUE,holotype MG MG150963;isotype IAN IAN165942;isotype K K001175886;isotype UEC UEC098079,1.1,77238954-1,urn:lsid:ipni.org:names:77238954-1,wfo-1000029570,TRUE,TRUE,TRUE,FALSE,FALSE,10 Jan 2022,"doi:10.11646/phytotaxa.530.2.5 The specific epithet refers to the Amazonian coastal region, the area where the species occurs.",NA,NA,NA,NA,NA,20 Mar 1995,"Maracanã, Ilha de Algodoal, Campo de Moitas",[epublished],NA,23 Mar 1995,,NA,NA,NA,NA,NA,NA,NA
Carex_loefgrenii,Boeckeler,Boeckeler,,spec.,/n/46532-2,Cyperaceae,Carex,loefgrenii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1895,1894: 240,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1894: 240. 1895 ,FALSE,TRUE,NA,1.3,46532-2,urn:lsid:ipni.org:names:46532-2,wfo-0001267585,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=240&rft.volume=1894&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Cyperus_ferrugineus,Boeckeler,Boeckeler,,spec.,/n/74681-2,Cyperaceae,Cyperus,ferrugineus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Allg. Bot. Z. Syst.,1895,1: 225,513-2,citation,Allg. Bot. Z. Syst. 1: 225. 1895 ,FALSE,TRUE,NA,1.2,74681-2,urn:lsid:ipni.org:names:74681-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=225&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/9199&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Cyperus_frionensis,Boeckeler,Boeckeler,,spec.,/n/74722-2,Cyperaceae,Cyperus,frionensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Beitr. Cyper.,1890,"pt. 2, 10",14830-2,citation,"Beitr. Cyper. pt. 2, 10. 1890 ",FALSE,TRUE,NA,1.2,74722-2,urn:lsid:ipni.org:names:74722-2,wfo-0000373850,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Cyperus_longespicatus,Boeckeler,Boeckeler,,spec.,/n/74842-2,Cyperaceae,Cyperus,longespicatus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Allg. Bot. Z. Syst.,1896,2: 18,513-2,citation,Allg. Bot. Z. Syst. 2: 18. 1896 ,FALSE,TRUE,NA,1.2,74842-2,urn:lsid:ipni.org:names:74842-2,wfo-0001302314,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.spage=18&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/9199&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Cyperus_minarum,Boeckeler,Boeckeler,,spec.,/n/74893-2,Cyperaceae,Cyperus,minarum,tax. nov.,s. n.,J.F.Widgren,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Beitr. Cyper.,1890,2: 5,14830-2,citation,Beitr. Cyper. 2: 5. 1890 ,FALSE,TRUE,holotype C,1.2,74893-2,urn:lsid:ipni.org:names:74893-2,wfo-0000377809,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi; Acta Bot. Bras. 10: 185. 1996],http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=5&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/51622&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Cyperus_purpurrhizus,Boeckeler,Boeckeler,,spec.,/n/75031-2,Cyperaceae,Cyperus,purpurrhizus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1895,1894: 237,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1894: 237. 1895 ,FALSE,TRUE,NA,1.2,75031-2,urn:lsid:ipni.org:names:75031-2,wfo-0001301648,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=237&rft.volume=1894&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Cyperus_traillii,C.B.Clarke,C.B.Clarke,,spec.,/n/75191-2,Cyperaceae,Cyperus,traillii,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,"Bull. Misc. Inform. Kew, Addit. Ser.",1908,8: 5,18643-2,citation,"Bull. Misc. Inform. Kew, Addit. Ser. 8: 5. 1908 ",FALSE,TRUE,NA,1.2,75191-2,urn:lsid:ipni.org:names:75191-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=5&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/49690&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Eleocharis_alveolata,Svenson,Svenson,,spec.,/n/89569-2,Cyperaceae,Eleocharis,alveolata,tax. nov.,NA,NA,"Cuba, Brazil",FALSE,FALSE,TRUE,,Rhodora,1929,31: 241,1065-2,citation,Rhodora 31: 241. 1929 ,FALSE,TRUE,NA,1.3,89569-2,urn:lsid:ipni.org:names:89569-2,wfo-0000402811,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=241&rft.volume=31&rft_id=http://www.biodiversitylibrary.org/bibliography/721&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Eleocharis_ramboi,H.E.Hess,H.E.Hess,,spec.,/n/89812-2,Cyperaceae,Eleocharis,ramboi,tax. nov.,NA,NA,"Rio Grande do Sul (Brazil, Southern America)",FALSE,FALSE,TRUE,,Ber. Schweiz. Bot. Ges.,1957,"67: 93, tab. 4",2865-2,citation,"Ber. Schweiz. Bot. Ges. 67: 93, tab. 4. 1957 ",FALSE,TRUE,NA,1.3,89812-2,urn:lsid:ipni.org:names:89812-2,wfo-0000405860,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Eleocharis_urbani,Boeckeler,Boeckeler,,spec.,/n/89872-2,Cyperaceae,Eleocharis,urbani,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Allg. Bot. Z. Syst.,1896,2: 20,513-2,citation,Allg. Bot. Z. Syst. 2: 20. 1896 ,FALSE,TRUE,NA,1.3,89872-2,urn:lsid:ipni.org:names:89872-2,wfo-0000406325,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.spage=20&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/9199&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Helonema_estrellense,Suess.,Suess.,,spec.,/n/119945-2,Cyperaceae,Helonema,estrellense,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bot. Jahrb. Syst.,1943,"73(2): 118, fig. 6",553-2,citation,"Bot. Jahrb. Syst. 73(2): 118, fig. 6. 1943 [18 Jun 1943] ",FALSE,TRUE,NA,1.3,119945-2,urn:lsid:ipni.org:names:119945-2,wfo-0000439815,FALSE,TRUE,TRUE,FALSE,FALSE,18 Jun 1943,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.issue=2&rft.spage=118&rft.volume=73&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Rhynchospora_caesionus,T.Koyama,T.Koyama,,spec.,/n/220209-2,Cyperaceae,Rhynchospora,caesionus,tax. nov.,5834,"Hunt, Ramos","Mato Grosso (Brazil, Southern America)",FALSE,FALSE,FALSE,,Brittonia,1972,"24: 281, fig. 1, J-T",561-2,citation,"Brittonia 24: 281, fig. 1, J-T. 1972 ",FALSE,TRUE,holotype K,1.2,220209-2,urn:lsid:ipni.org:names:220209-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Rhynchospora_calderiana,D.A.Simpson,D.A.Simpson,,spec.,/n/284279-2,Cyperaceae,Rhynchospora,calderiana,tax. nov.,21503,R.M.Harley,Brazil (Southern America),FALSE,FALSE,TRUE,,Kew Bull.,1987,"42(4): 891, fig.",987-2,citation,"Kew Bull. 42(4): 891, fig. 1987 [11 Nov 1987] ",FALSE,TRUE,holotype CEPEC,1.4.1.2,284279-2,urn:lsid:ipni.org:names:284279-2,wfo-0000514520,FALSE,TRUE,TRUE,FALSE,FALSE,11 Nov 1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Rhynchospora_urbani,Boeckeler,Boeckeler,,spec.,/n/220727-2,Cyperaceae,Rhynchospora,urbani,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Beitr. Cyper.,1888,"pt. 1, 26",14830-2,citation,"Beitr. Cyper. pt. 1, 26. 1888 ",FALSE,TRUE,NA,1.2,220727-2,urn:lsid:ipni.org:names:220727-2,wfo-0000521993,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Scirpus_longevaginatus,Boeckeler,Boeckeler,,spec.,/n/230403-2,Cyperaceae,Scirpus,longevaginatus,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Beitr. Cyper.,1890,"pt. 2, 16",14830-2,citation,"Beitr. Cyper. pt. 2, 16. 1890 ",FALSE,TRUE,NA,1.2,230403-2,urn:lsid:ipni.org:names:230403-2,wfo-0000540717,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Scirpus_microstachyus,Boeckeler,Boeckeler,,spec.,/n/322332-2,Cyperaceae,Scirpus,microstachyus,tax. nov.,2112,A.Löfgren,Brazil (Southern America),FALSE,FALSE,FALSE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1895,1894: 238,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1894: 238. 1895 ,FALSE,TRUE,NA,1.2,322332-2,urn:lsid:ipni.org:names:322332-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,[Gandhi 7 Feb 2002] later homonym (non S. microstachys Boeckeler 1890),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=238&rft.volume=1894&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Scleria_loefgreniana,Boeckeler,Boeckeler,,spec.,/n/230680-2,Cyperaceae,Scleria,loefgreniana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn,1895,1894: 240,1089-2,citation,Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1894: 240. 1895 ,FALSE,TRUE,NA,1.2,230680-2,urn:lsid:ipni.org:names:230680-2,wfo-0001302354,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=240&rft.volume=1894&rft_id=http://www.biodiversitylibrary.org/bibliography/7547&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
