name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,referenceRemarks,remarks,typeCoordinates,pageAsText,bhlLink,originalRemarks,originalTaxonDistribution,infraspecies,speciesAuthor,typeRemarks,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,typeNote,collectionDate2,bibliographicTypeInfo
Acacia_platyacantha,Bertol.,Bertol.,,spec.,/n/2927724-1,Leguminosae,Acacia,platyacantha,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,FALSE,NA,,et Giorn. Arcad.,1826,1826,29: 342 (1826);,NA,citation,et Giorn. Arcad. 29: 342 (1826);. ,FALSE,TRUE,NA,1.5,2927724-1,urn:lsid:ipni.org:names:2927724-1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,,NA,NA,NA,Brazil.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_platyacantha,Bertol.,Bertol.,,spec.,/n/927724-1,Leguminosae,Acacia,platyacantha,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,,Hort. Bot. Bonon.,1826,1826,1826: 3,NA,citation,"Hort. Bot. Bonon. 1826: 3. ; cf. D.J. Mabberley in Taxon, 32(1): 82. 1983",FALSE,TRUE,NA,1.5,927724-1,urn:lsid:ipni.org:names:927724-1,NA,TRUE,TRUE,TRUE,TRUE,FALSE,"cf. D.J. Mabberley in Taxon, 32(1): 82. 1983",NA,,NA,NA,NA,Brazil.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adesmia_miottoae,"Cobra, Iganci & Fort.-Perez","Cobra, Iganci & Fort.-Perez",,spec.,/n/77221370-1,Fabaceae,Adesmia,miottoae,tax. nov.,344,T. Cobra &amp; G.M. Cobra,1 Dec 2020,"Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,"Santa Catarina: São Joaquim, SC-114",,Phytotaxa,2021,23 Sep 2021,521(1): 49,20011462-1,citation,Phytotaxa 521(1): 49. 2021 [23 Sep 2021] [epublished],FALSE,TRUE,holotype BOTU;isotype ICN;isotype MBM;isotype PEL;isotype RB;isotype UEC,1.2,77221370-1,urn:lsid:ipni.org:names:77221370-1,wfo-1000003014,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],"doi:10.11646/phytotaxa.521.1.5 Etymology: the name honours Professor Silvia Terezinha Sfoggia Miotto for her great contribution to Adesmia studies in Brazil, as part of the important work she undertook with the Leguminosae family as a whole, especially in the Rio Grande do Sul state, Brazil.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adesmia_subtropicalis,Cobra,Cobra,,spec.,/n/77221410-1,Fabaceae,Adesmia,subtropicalis,tax. nov.,223,"T.C.Monteiro, I.C.C.Silva, D.S.Gissi, L.M.P.A.Bezerra, &amp; A.P.Fortuna-Perez",3 Nov 2019,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,"Soledade, Road RS-332 from Soledade to Espumoso",,Phytotaxa,2021,30 Sep 2021,521(3): 220,20011462-1,citation,Phytotaxa 521(3): 220. 2021 [30 Sep 2021] [epublished],FALSE,TRUE,holotype BOTU;isotype ICN;isotype HAS;isotype PEL;isotype MBM;isotype RB;isotype UEC,1.1,77221410-1,urn:lsid:ipni.org:names:77221410-1,wfo-1000003020,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],"doi:10.11646/phytotaxa.521.3.7 The specific epithet refers to the species distribution between Pampa (temperate) and Mata Atlantica (tropical), in subtropical southern Brazil.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene_latifolia,Spreng.,Spreng.,,spec.,/n/5956-2,Fabaceae,Aeschynomene,latifolia,tax. nov.,s.n.,F.Sellow,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Syst. Veg., ed. 16 [Sprengel]",1826,Jan-Mar 1826,3: 322,14620-2,citation,"Syst. Veg., ed. 16 [Sprengel] 3: 322. 1826 [Jan-Mar 1826] ",FALSE,TRUE,null G-DEL,1.1.2.1.1.2,5956-2,urn:lsid:ipni.org:names:5956-2,wfo-0000176060,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1826&rft.spage=322&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene_laxa,Gleason,Gleason,,spec.,/n/5957-2,Fabaceae,Aeschynomene,laxa,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Torrey Bot. Club,1929,NA,56: 395,586-2,citation,Bull. Torrey Bot. Club 56: 395. 1929 ,FALSE,TRUE,NA,1.3,5957-2,urn:lsid:ipni.org:names:5957-2,wfo-0000176089,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1929&rft.spage=395&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_bahiensis,N.F.Mattos,N.F.Mattos,,spec.,/n/12566-2,Fabaceae,Andira,bahiensis,tax. nov.,58414,Silva,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Loefgrenia,1970,NA,45: 2,994-2,citation,Loefgrenia 45: 2. 1970 ,FALSE,TRUE,holotype Herb. Univ. Brasilia,1.3,12566-2,urn:lsid:ipni.org:names:12566-2,wfo-0000164255,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_landroana,N.F.Mattos,N.F.Mattos,,spec.,/n/12583-2,Fabaceae,Andira,landroana,tax. nov.,2064,Pereira,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Loefgrenia,1970,NA,40: [1],994-2,citation,Loefgrenia 40: [1]. 1970 ,FALSE,TRUE,holotype R,1.2,12583-2,urn:lsid:ipni.org:names:12583-2,wfo-0000164257,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_lanei,N.F.Mattos,N.F.Mattos,,spec.,/n/12582-2,Fabaceae,Andira,lanei,tax. nov.,s/n,Lane,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Loefgrenia,1970,NA,40: [1],994-2,citation,Loefgrenia 40: [1]. 1970 ,FALSE,TRUE,holotype HB,1.3,12582-2,urn:lsid:ipni.org:names:12582-2,wfo-0000176143,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andira_zehntneri,Harms,Harms,,spec.,/n/12614-2,Fabaceae,Andira,zehntneri,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1921,NA,17: 443,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 443. 1921 ,FALSE,TRUE,NA,1.4,12614-2,urn:lsid:ipni.org:names:12614-2,wfo-0000169594,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,181625,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181625&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauhinia_lilacina,Wunderlin & Eilers,Wunderlin & Eilers,,spec.,/n/77106472-1,Leguminosae,Bauhinia,lilacina,tax. nov.,81,Silva Mattos &amp; Hage,4 Aug 1977,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,Km 5 on Núcleo Colonial de Una-São José Highway (BR 101),,J. Bot. Res. Inst. Texas,2009,25 Nov 2009,3(2): 621 (-623; fig. 1),20007714-1,citation,J. Bot. Res. Inst. Texas 3(2): 621 (-623; fig. 1). 2009 [25 Nov 2009] ,FALSE,TRUE,holotype CEPEC;isotype K;isotype US,1.1,77106472-1,urn:lsid:ipni.org:names:77106472-1,wfo-0001039672,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2009&rft.issue=2&rft.spage=621&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/63883&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calliandra_bromelioides,E.R.Souza & L.P.Queiroz,E.R.Souza & L.P.Queiroz,,spec.,/n/77140316-1,Leguminosae,Calliandra,bromelioides,tax. nov.,514,"E.R. de Souza, D.Cardoso, A.Conceição",15 Sep 2006,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Mucugê, Serra do Gobira, 1450 m",,Phytotaxa,2014,4 Apr 2014,164(2): 105,20011462-1,citation,Phytotaxa 164(2): 105. 2014 [4 Apr 2014] [epublished],FALSE,TRUE,holotype HUEFS;isotype K,1.1,77140316-1,urn:lsid:ipni.org:names:77140316-1,wfo-0001339735,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.164.2.4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calliandra_lewisii,E.R.Souza & L.P.Queiroz,E.R.Souza & L.P.Queiroz,,spec.,/n/77140317-1,Leguminosae,Calliandra,lewisii,tax. nov.,5801,"M.M.Arbo, R.Mello-Silva &amp; J.Vicente",23 Nov 1992,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Barra da Estiva: 20 km NE de Barra da Estiva, camino a Sincora Velho, ca. 890 m",,Phytotaxa,2014,4 Apr 2014,164(2): 108,20011462-1,citation,Phytotaxa 164(2): 108. 2014 [4 Apr 2014] [epublished],FALSE,TRUE,holotype HUEFS;isotype CTES;isotype K;isotype SPF,1.2,77140317-1,urn:lsid:ipni.org:names:77140317-1,wfo-0001339736,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.164.2.4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calliandra_oroboensis,E.R.Souza & L.P.Queiroz,E.R.Souza & L.P.Queiroz,,spec.,/n/77140318-1,Leguminosae,Calliandra,oroboensis,tax. nov.,9281,"L.P. de Queiroz, J.G. de Carvalho, D.Cardoso &amp; T.Costa",27 Jul 2004,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Ruy Barbosa, Serra Orobó, riacho Cazuza, 526 m",,Phytotaxa,2014,4 Apr 2014,164(2): 110,20011462-1,citation,Phytotaxa 164(2): 110. 2014 [4 Apr 2014] [epublished],FALSE,TRUE,holotype HUEFS;isotype K;isotype SPF,1.2,77140318-1,urn:lsid:ipni.org:names:77140318-1,wfo-0001339737,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.164.2.4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camptosema_bellatulum,Hoehne,Hoehne,,spec.,/n/44120-2,Fabaceae,Camptosema,bellatulum,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1919,NA,"5, Bot. pt. 8: 91, pl. 155",16436-2,citation,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5, Bot. pt. 8: 91, pl. 155. 1919 ",FALSE,TRUE,NA,1.3,44120-2,urn:lsid:ipni.org:names:44120-2,wfo-0000583108,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camptosema_goiasana,R.S.Cowan,R.S.Cowan,,spec.,/n/44124-2,Fabaceae,Camptosema,goiasana,tax. nov.,NA,NA,NA,"Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bol. Soc. Venez. Ci. Nat.,1961,NA,"22: 285, fig. 3a-b",859-2,citation,"Bol. Soc. Venez. Ci. Nat. 22: 285, fig. 3a-b. 1961 ",FALSE,TRUE,NA,1.3,44124-2,urn:lsid:ipni.org:names:44124-2,wfo-0000165091,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camptosema_pentaphyllum,Taub.,Taub.,,spec.,/n/44129-2,Fabaceae,Camptosema,pentaphyllum,tax. nov.,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Flora,1889,NA,47: 428,648-2,citation,Flora 47: 428. 1889 ,FALSE,TRUE,NA,1.3,44129-2,urn:lsid:ipni.org:names:44129-2,wfo-0000186816,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi; Hickenia 3(2): 6. 1999],,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=428&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/64&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia_tuhovalyana,Aké Assi,Aké Assi,,spec.,/n/905824-1,Leguminosae,Cassia,tuhovalyana,tax. nov.,NA,NA,NA,Ivory Coast;Brazil.;,FALSE,FALSE,TRUE,NA,,"Bull. Inst. Fondam. Afrique Noire, Sér. A., Sci. Nat.",1985,1985,44(1–2): 67 (1982 publ. 1985),NA,citation,"Bull. Inst. Fondam. Afrique Noire, Sér. A., Sci. Nat. 44(1–2): 67 (1982 publ. 1985). ",FALSE,TRUE,NA,1.6,905824-1,urn:lsid:ipni.org:names:905824-1,wfo-0000165032,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,,NA,NA,NA,"Ivory Coast, Brazil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrosema_jaraguaensis,Hoehne,Hoehne,,spec.,/n/51868-2,Fabaceae,Centrosema,jaraguaensis,tax. nov.,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Bol. Inst. Brasil. Sci.,1926,NA,"2: 248, pl. 4",3890-2,citation,"Bol. Inst. Brasil. Sci. 2: 248, pl. 4. 1926 ",FALSE,TRUE,NA,1.2,51868-2,urn:lsid:ipni.org:names:51868-2,wfo-0000165560,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista_× blanchetiformis,"Conc., L.P.Queiroz & Borba","Conc., L.P.Queiroz & Borba",,spec.,/n/77089343-1,Leguminosae,Chamaecrista,blanchetiformis,tax. nov.,535,A.S.Conceição,28 Sep 2002,"Bahia (Brazil Northeast, Brazil, Southern America)",TRUE,FALSE,TRUE,"Mucugê, Chapada Diamantina, Projeto Sempre Viva",,Pl. Syst. Evol.,2008,NA,"271(1-2): 25 (-26, 22; fig. 1E)",2733-2,citation,"Pl. Syst. Evol. 271(1-2): 25 (-26, 22; fig. 1E). 2008 ",FALSE,TRUE,holotype HUEFS;isotype K;isotype HRB;isotype SPF,1.1,77089343-1,urn:lsid:ipni.org:names:77089343-1,wfo-0000508744,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista_× patyensis,"Conc., L.P.Queiroz & Borba","Conc., L.P.Queiroz & Borba",,spec.,/n/77089344-1,Leguminosae,Chamaecrista,patyensis,tax. nov.,918,A.S.Conceição,8 Dec 2006,"Bahia (Brazil Northeast, Brazil, Southern America)",TRUE,FALSE,TRUE,"Mucugê, Chapada Diamantina, Guiné, Paty de Fora, Gerais do Rio Preto (Acento do Beco)",,Pl. Syst. Evol.,2008,NA,271(1-2): 26 (22; fig. 1B),2733-2,citation,Pl. Syst. Evol. 271(1-2): 26 (22; fig. 1B). 2008 ,FALSE,TRUE,holotype HUEFS;isotype K,1.1,77089344-1,urn:lsid:ipni.org:names:77089344-1,wfo-0000508746,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clitoria_brasiliana,L.,L.,,spec.,/n/61237-2,Fabaceae,Clitoria,brasiliana,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Sp. Pl.,1753,1 May 1753,2: 753,1071-2,citation,Sp. Pl. 2: 753. 1753 [1 May 1753] ,FALSE,TRUE,"lectotype BM (HERB. CLIFFORD: 361, CLITORIA NO. 2) (HERB. CLIFFORD: 361, CLITORIA NO. 2)",1.4,61237-2,urn:lsid:ipni.org:names:61237-2,wfo-0000176372,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi; LT],,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.spage=753&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clitoria_magnifica,Afr.Fern. & P.Bezerra,Afr.Fern. & P.Bezerra,,spec.,/n/274775-2,Fabaceae,Clitoria,magnifica,tax. nov.,1978," Mattos,A.G.Fernandes",NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bradea,1984,NA,4: 52 (fig.),1276-2,citation,Bradea 4: 52 (fig.). 1984 ,FALSE,TRUE,holotype EAC 3842 3842,1.4,274775-2,urn:lsid:ipni.org:names:274775-2,wfo-0001061141,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collaea_coriacea,Glaz.,Glaz.,,spec.,/n/63123-2,Fabaceae,Collaea,coriacea,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1906,NA,53(Mém. 3b): 138,578-2,citation,Bull. Soc. Bot. France 53(Mém. 3b): 138. 1906 Name only,FALSE,TRUE,NA,1.4,63123-2,urn:lsid:ipni.org:names:63123-2,wfo-0001051077,TRUE,TRUE,TRUE,FALSE,FALSE,Name only,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Collaea_insignis,M.J.Silva,M.J.Silva,,spec.,/n/77310103-1,Leguminosae,Collaea,insignis,tax. nov.,6888,"M.J.Silva, R.N.Ribeiro, M.C.N.Ribeiro, G.L.Soares-Feitosa, D.O.Diniz-Neres &amp; A.O.Souza",3 Jul 2015,"Goiás (Brazil West-Central, Brazil, Southern America);Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America);",FALSE,FALSE,TRUE,"Goiás: Alto Paraíso de Goiás, Parque Nacional da Chapada dos Veadeiros, c. 10 km ao norte de Alto Paraíso de Goiás pela GO 118, mata de galeria adjacente ao Morro do Japonês, 1225 m",,Phytotaxa,2022,15 Dec 2022,576(1): 57,20011462-1,citation,Phytotaxa 576(1): 57. 2022 [15 Dec 2022] [epublished],FALSE,TRUE,holotype UFG;isotype CEN;isotype UB,1.1,77310103-1,urn:lsid:ipni.org:names:77310103-1,wfo-1000043052,TRUE,TRUE,TRUE,FALSE,FALSE,[epublished],doi:10.11646/phytotaxa.576.1.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
