name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,typeLocations,collectionDate1,locality,publicationYearNote,bhlLink,remarks,pageAsText,typeCoordinates,infraspecies
Citronella_toledoi,Hashim.,Hashim.,,spec.,/n/59583-2,Icacinaceae,Citronella,toledoi,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Rodriguésia,1951,"13, no. 25: [265], tab. 2",1167-2,citation,"Rodriguésia 13, no. 25: [265], tab. 2. 1951 ",FALSE,TRUE,1.3,59583-2,urn:lsid:ipni.org:names:59583-2,wfo-0000607728,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Dendrobangia_multinervia,Ducke,Ducke,,spec.,/n/77583-2,Icacinaceae,Dendrobangia,multinervia,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Trop. Woods,1943,76: 19,1085-2,citation,Trop. Woods 76: 19. 1943 ,FALSE,TRUE,1.2,77583-2,urn:lsid:ipni.org:names:77583-2,wfo-0000640994,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Dendrobangia_tenuis,Ducke,Ducke,,spec.,/n/77584-2,Icacinaceae,Dendrobangia,tenuis,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bol. Tecn. Inst. Agron. N.,1945,no. 4: 15,860-2,citation,Bol. Tecn. Inst. Agron. N. no. 4: 15. 1945 ,FALSE,TRUE,1.2,77584-2,urn:lsid:ipni.org:names:77584-2,wfo-0000640995,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Discophora_froesii,Pires,Pires,,spec.,/n/82164-2,Icacinaceae,Discophora,froesii,tax. nov.,Brazil (Amazonas) &amp; Colombia,FALSE,FALSE,TRUE,,Bol. Tecn. Inst. Agron. N.,1960,no. 38: 28,860-2,citation,Bol. Tecn. Inst. Agron. N. no. 38: 28. 1960 ,FALSE,TRUE,1.2,82164-2,urn:lsid:ipni.org:names:82164-2,wfo-0000652118,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Emmotum_amazonicum,Duno & Carnevali,Duno & Carnevali,,spec.,/n/77115243-1,Icacinaceae,Emmotum,amazonicum,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Ann. Missouri Bot. Gard.,2011,98(1): 20,1-2,citation,Ann. Missouri Bot. Gard. 98(1): 20. 2011 [27 Apr 2011] ,FALSE,TRUE,1.1,77115243-1,urn:lsid:ipni.org:names:77115243-1,wfo-0000749275,FALSE,TRUE,TRUE,FALSE,FALSE,1413,A.Ducke,holotype NY;isotype GM;isotype IAN;isotype US,27 Oct 1943,"Manaus, Rio Tarumá",27 Apr 2011,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2011&rft.issue=1&rft.spage=20&rft.volume=98&rft_id=http://www.biodiversitylibrary.org/bibliography/702&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,,NA
Emmotum_faia,Kuhlm.,Kuhlm.,,spec.,/n/60444554-2,Icacinaceae,Emmotum,faia,tax. nov.,"Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1982,26: 45 (-47; fig.),848-2,citation,Arch. Jard. Bot. Rio de Janeiro 26: 45 (-47; fig.). 1982 ,FALSE,TRUE,1.2,60444554-2,urn:lsid:ipni.org:names:60444554-2,wfo-0000507097,FALSE,TRUE,TRUE,FALSE,FALSE,177 (Jard. Bot. 34161),J. G. Kuhlmann,holotype RB,12 Apr 1934,"asd marginis Lagoa do Durao, Rio Doce",NA,NA,"A posthumous publication of João Geraldo Kuhlmann (1882-1958). Hilda Manhã Ferrerira and Cordélia Luiza Benavides de Abreu, who published the article, ascribed the specific name, validating Latin description, and type citation to J. G. Kuhlmann.",NA,,NA
Emmotum_harleyi,Duno,Duno,,spec.,/n/77084123-1,Icacinaceae,Emmotum,harleyi,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Novon,2007,17(3): 306 (-308; fig. 1),14256-2,citation,Novon 17(3): 306 (-308; fig. 1). 2007 [10 Sep 2007] ,FALSE,TRUE,1.3,77084123-1,urn:lsid:ipni.org:names:77084123-1,wfo-0000507099,FALSE,TRUE,TRUE,FALSE,FALSE,19248,"R. M. Harley, S. J. Mayo, R. M. Storr, T. S. dos Santos &amp; R. S. Pinheiro",holotype K;isotype K;isotype NY,2 Mar 1977,"19.5 km SE of Morro do Chapéu on BA052 road to Mundo Novo, by Rio Ferro Doido, alt. ca. 900 m",10 Sep 2007,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/11159380&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11159380,,NA
Emmotum_holosericeum,Ducke,Ducke,,spec.,/n/90511-2,Icacinaceae,Emmotum,holosericeum,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Inst. Biol. Veg.,1938,4(1): 45,851-2,citation,Arq. Inst. Biol. Veg. 4(1): 45. 1938 [Jun 1938] ,FALSE,TRUE,1.4,90511-2,urn:lsid:ipni.org:names:90511-2,wfo-0000667192,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Jun 1938,NA,NA,NA,,NA
Emmotum_nudum,R.A.Howard,R.A.Howard,,spec.,/n/90513-2,Icacinaceae,Emmotum,nudum,tax. nov.,"Para &amp; Amazonas, Brazil (Southern America)",FALSE,FALSE,TRUE,,J. Arnold Arbor.,1942,"23: 485, tab. 1",981-2,citation,"J. Arnold Arbor. 23: 485, tab. 1. 1942 ",FALSE,TRUE,1.4,90513-2,urn:lsid:ipni.org:names:90513-2,wfo-0000667195,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1942&rft.spage=485&rft.volume=23&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,,NA
Lasianthera_amazonica,Barb.Rodr.,Barb.Rodr.,,spec.,/n/135763-2,Icacinaceae,Lasianthera,amazonica,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Vellosia,1888,"1: 13, pl. 7",3884-2,citation,"Vellosia 1: 13, pl. 7. 1888 ",FALSE,TRUE,1.3,135763-2,urn:lsid:ipni.org:names:135763-2,wfo-0000367559,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=13&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,,NA
Martia_brasiliensis,Valeton,Valeton,,spec.,/n/153702-2,Icacinaceae,Martia,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Crit. Overz. Olacin.,1886,"261, pl. 6",15999-2,citation,"Crit. Overz. Olacin. 261, pl. 6. 1886 [7 Jul 1886] ",FALSE,TRUE,1.5,153702-2,urn:lsid:ipni.org:names:153702-2,wfo-0001256830,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,7 Jul 1886,NA,NA,NA,,NA
Poraqueiba_paraensis,Ducke,Ducke,,spec.,/n/208363-2,Icacinaceae,Poraqueiba,paraensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1925,4: 116,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 4: 116. 1925 ,FALSE,TRUE,1.2,208363-2,urn:lsid:ipni.org:names:208363-2,wfo-0000465003,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Villaresia_engleriana,Loes.,Loes.,,spec.,/n/265505-2,Icacinaceae,Villaresia,engleriana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Königl. Bot. Gart. Berlin,1900,3: 20,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 3: 20. 1900 ,FALSE,TRUE,1.3,265505-2,urn:lsid:ipni.org:names:265505-2,wfo-0001067096,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=20&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,,NA
Villaresia_megaphylla,Miers,Miers,,spec.,/n/265507-2,Icacinaceae,Villaresia,megaphylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ann. Mag. Nat. Hist.,1862,"ser. 3, 9(50): 114",520-2,citation,"Ann. Mag. Nat. Hist. ser. 3, 9(50): 114. 1862 [Feb 1862] ",FALSE,TRUE,1.4,265507-2,urn:lsid:ipni.org:names:265507-2,wfo-0001067097,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Feb 1862,NA,NA,NA,,NA
Villaresia_ramiflora,Miers,Miers,,spec.,/n/265512-2,Icacinaceae,Villaresia,ramiflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ann. Mag. Nat. Hist.,1862,"ser. 3, 9(50): 116",520-2,citation,"Ann. Mag. Nat. Hist. ser. 3, 9(50): 116. 1862 [Feb 1862] ",FALSE,TRUE,1.5,265512-2,urn:lsid:ipni.org:names:265512-2,wfo-0001285446,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Feb 1862,NA,NA,NA,,NA
Villaresia_virescens,Miers,Miers,,spec.,/n/265513-2,Icacinaceae,Villaresia,virescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ann. Mag. Nat. Hist.,1862,"ser. 3, 9(50): 115",520-2,citation,"Ann. Mag. Nat. Hist. ser. 3, 9(50): 115. 1862 [Feb 1862] ",FALSE,TRUE,1.5,265513-2,urn:lsid:ipni.org:names:265513-2,wfo-0001285453,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,Feb 1862,NA,NA,NA,,NA
