name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,typeLocations,speciesAuthor,referenceRemarks,originalTaxonDistribution,collectionDate1,locality,remarks,typeCoordinates,originalRemarks,basionymStr,basionymAuthorStr,basionymId,nameStatus,nameStatusType,bibliographicReference,typeChosenBy
Ottonia_albopunctata,Trel.,Trel.,,spec.,/n/177398-2,Piperaceae,Ottonia,albopunctata,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 696,8208-2,citation,Proc. Amer. Philos. Soc. 75: 696. 1935 ,FALSE,TRUE,1.4,177398-2,urn:lsid:ipni.org:names:177398-2,wfo-0000386969,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=696&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_armondi,Trel.,Trel.,,spec.,/n/177402-2,Piperaceae,Ottonia,armondi,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 697,8208-2,citation,Proc. Amer. Philos. Soc. 75: 697. 1935 ,FALSE,TRUE,1.2,177402-2,urn:lsid:ipni.org:names:177402-2,wfo-0000386965,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=697&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_douglasii,Trel.,Trel.,,spec.,/n/177417-2,Piperaceae,Ottonia,douglasii,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 701,8208-2,citation,Proc. Amer. Philos. Soc. 75: 701. 1935 ,FALSE,TRUE,1.3,177417-2,urn:lsid:ipni.org:names:177417-2,wfo-0000386897,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=701&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_grandifolia,Trel.,Trel.,,spec.,/n/177430-2,Piperaceae,Ottonia,grandifolia,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 705,8208-2,citation,Proc. Amer. Philos. Soc. 75: 705. 1935 ,FALSE,TRUE,1.3,177430-2,urn:lsid:ipni.org:names:177430-2,wfo-0000386889,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=705&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_hammarii,Trel.,Trel.,,spec.,/n/177431-2,Piperaceae,Ottonia,hammarii,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 705,8208-2,citation,Proc. Amer. Philos. Soc. 75: 705. 1935 ,FALSE,TRUE,1.3,177431-2,urn:lsid:ipni.org:names:177431-2,wfo-0001266333,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=705&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_mendoncae,Trel.,Trel.,,spec.,/n/177445-2,Piperaceae,Ottonia,mendoncae,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 708,8208-2,citation,Proc. Amer. Philos. Soc. 75: 708. 1935 ,FALSE,TRUE,1.3,177445-2,urn:lsid:ipni.org:names:177445-2,wfo-0000386922,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=708&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_santa-annae,Trel.,Trel.,,spec.,/n/177465-2,Piperaceae,Ottonia,santa-annae,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 713,8208-2,citation,Proc. Amer. Philos. Soc. 75: 713. 1935 ,FALSE,TRUE,1.2,177465-2,urn:lsid:ipni.org:names:177465-2,wfo-0001266336,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=713&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_santa-ludoviciana,Trel.,Trel.,,spec.,/n/177466-2,Piperaceae,Ottonia,santa-ludoviciana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 714,8208-2,citation,Proc. Amer. Philos. Soc. 75: 714. 1935 ,FALSE,TRUE,1.3,177466-2,urn:lsid:ipni.org:names:177466-2,wfo-0000386902,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_santa-ritana,Trel.,Trel.,,spec.,/n/177467-2,Piperaceae,Ottonia,santa-ritana,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 714,8208-2,citation,Proc. Amer. Philos. Soc. 75: 714. 1935 ,FALSE,TRUE,1.3,177467-2,urn:lsid:ipni.org:names:177467-2,wfo-0000386901,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_stationis,Trel.,Trel.,,spec.,/n/177469-2,Piperaceae,Ottonia,stationis,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 714,8208-2,citation,Proc. Amer. Philos. Soc. 75: 714. 1935 ,FALSE,TRUE,1.3,177469-2,urn:lsid:ipni.org:names:177469-2,wfo-0000386946,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=714&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Ottonia_striaticaulis,Trel.,Trel.,,spec.,/n/177471-2,Piperaceae,Ottonia,striaticaulis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Proc. Amer. Philos. Soc.,1935,NA,75: 715,8208-2,citation,Proc. Amer. Philos. Soc. 75: 715. 1935 ,FALSE,TRUE,1.3,177471-2,urn:lsid:ipni.org:names:177471-2,wfo-0000387031,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=715&rft.volume=75&rft_id=http://www.biodiversitylibrary.org/bibliography/7023&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_beckeri,E.F.Guim. & R.J.V.Alves,E.F.Guim. & R.J.V.Alves,,spec.,/n/1004804-1,Piperaceae,Peperomia,beckeri,tax. nov.,Brazil Southeast (Trinidade).,FALSE,FALSE,NA,TRUE,NA,,Bradea,1998,1998,8(17): 98 (1998),1276-2,citation,Bradea 8(17): 98 (1998). ,FALSE,TRUE,1.1.2.2.1.2,1004804-1,urn:lsid:ipni.org:names:1004804-1,wfo-0000478274,FALSE,TRUE,TRUE,TRUE,FALSE,NA,520,J. Becker,holotype Herbario de Museu Nacional,NA,NA,Brazil Southeast (Trinidade).,13 Dec 1965,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_beckeri,E.F.Guim. & R.J.V.Alves,E.F.Guim. & R.J.V.Alves,,spec.,/n/317016-2,Piperaceae,Peperomia,beckeri,tax. nov.,"Ilha de Trindade, escarpa do noroeste, Brazil (Southern America)",FALSE,FALSE,NA,FALSE,NA,,Bradea,1998,NA,"8: 98 (98-100, fig. 1)",1276-2,citation,"Bradea 8: 98 (98-100, fig. 1). 1998 ",FALSE,TRUE,1.3,317016-2,urn:lsid:ipni.org:names:317016-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,520,Johann Becker,holotype R,NA,NA,NA,NA,NA,[Gandhi 30 Dec 1998],,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_callophylla,Yunck.,Yunck.,,spec.,/n/188406-2,Piperaceae,Peperomia,callophylla,tax. nov.,"Paraná (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Bol. Inst. Bot. (São Paulo),1966,NA,"no. 3: 140, fig. 124",5530-2,citation,"Bol. Inst. Bot. (São Paulo) no. 3: 140, fig. 124. 1966 ",FALSE,TRUE,1.3,188406-2,urn:lsid:ipni.org:names:188406-2,wfo-0000490342,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_catharinensis,Dahlst.,Dahlst.,,spec.,/n/188441-2,Piperaceae,Peperomia,catharinensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1900,NA,33(2): 116,20010256-1,citation,Kongl. Svenska Vetensk.-Akad. Handl. 33(2): 116. 1900 ,FALSE,TRUE,1.4,188441-2,urn:lsid:ipni.org:names:188441-2,wfo-0000482245,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=2&rft.spage=116&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_ciliatocaespitosa,Carv.-Silva,Carv.-Silva,,spec.,/n/77098687-1,Piperaceae,Peperomia,ciliatocaespitosa,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Acta Bot. Brasil.,2008,NA,22(2): 559 (-561; fig. 1-17),1225-2,citation,Acta Bot. Brasil. 22(2): 559 (-561; fig. 1-17). 2008 ,FALSE,TRUE,1.2,77098687-1,urn:lsid:ipni.org:names:77098687-1,wfo-0000744406,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1342,V.Demurer et al.,holotype MBML;isotype RB,NA,NA,NA,3 Aug 2000,"Mun. Santa Teresa, São João de Petrópolis, cachoeira do Struts",as ciliato-caespitosa,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_cilifolia,C.DC.,C.DC.,,spec.,/n/188485-2,Piperaceae,Peperomia,cilifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Vierteljahrsschr. Naturf. Ges. Zürich,1915,NA,60: 431,1090-2,citation,Vierteljahrsschr. Naturf. Ges. Zürich 60: 431. 1915 ,FALSE,TRUE,1.1.2.1.1.1,188485-2,urn:lsid:ipni.org:names:188485-2,wfo-0000482417,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=431&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/8297&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_clausenii,Yunck.,Yunck.,,spec.,/n/188498-2,Piperaceae,Peperomia,clausenii,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Bol. Inst. Bot. (São Paulo),1966,NA,no. 3: 141,5530-2,citation,Bol. Inst. Bot. (São Paulo) no. 3: 141. 1966 ,FALSE,TRUE,1.3,188498-2,urn:lsid:ipni.org:names:188498-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_heterophylla,Dahlst.,Dahlst.,,spec.,/n/188881-2,Piperaceae,Peperomia,heterophylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1900,NA,"33(2): 192, pl. 9, fig. 3",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 33(2): 192, pl. 9, fig. 3. 1900 ",FALSE,TRUE,1.4,188881-2,urn:lsid:ipni.org:names:188881-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=2&rft.spage=192&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_lindmanniana,Dahlst.,Dahlst.,,spec.,/n/189044-2,Piperaceae,Peperomia,lindmanniana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1900,NA,"33(2): 44, pl. 8, fig. 7",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 33(2): 44, pl. 8, fig. 7. 1900 ",FALSE,TRUE,1.3,189044-2,urn:lsid:ipni.org:names:189044-2,wfo-0000490478,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=2&rft.spage=44&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_prolifera,Yunck.,Yunck.,,spec.,/n/189433-2,Piperaceae,Peperomia,prolifera,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Brittonia,1961,NA,"13: 62, fig. 5",561-2,citation,"Brittonia 13: 62, fig. 5. 1961 ",FALSE,TRUE,1.3,189433-2,urn:lsid:ipni.org:names:189433-2,wfo-0001093927,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_rosulatiformis,Yunck.,Yunck.,,spec.,/n/189585-2,Piperaceae,Peperomia,rosulatiformis,tax. nov.,"Southeastern Brazil, Brazil (Southern America)",FALSE,FALSE,NA,TRUE,NA,,Bol. Inst. Bot. (São Paulo),1966,NA,"no. 3: 150, fig. 134",5530-2,citation,"Bol. Inst. Bot. (São Paulo) no. 3: 150, fig. 134. 1966 ",FALSE,TRUE,1.3,189585-2,urn:lsid:ipni.org:names:189585-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_schenckeana,Dahlst.,Dahlst.,,spec.,/n/189669-2,Piperaceae,Peperomia,schenckeana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1900,NA,33(2): 91,20010256-1,citation,Kongl. Svenska Vetensk.-Akad. Handl. 33(2): 91. 1900 ,FALSE,TRUE,1.3,189669-2,urn:lsid:ipni.org:names:189669-2,wfo-0000490441,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=2&rft.spage=91&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
